name	class	size
2021-11-09_run1_26C_D3_t071	burst	8
2021-11-09_run1_26C_D3_t071	germinated	53
2021-11-09_run1_26C_D3_t071	unknown_germinated	6
2021-11-16_run2_26C_A4_t020	aborted	4
2021-11-16_run2_26C_A4_t020	germinated	61
2021-11-16_run2_26C_A4_t020	ungerminated	8
2021-11-16_run2_26C_A4_t020	unknown_germinated	2
2021-11-18_run1_26C_D2_t074	germinated	7
2021-11-18_run2_26C_B2_t071	aborted	2
2021-11-18_run2_26C_B2_t071	burst	9
2021-11-18_run2_26C_B2_t071	germinated	31
2021-11-18_run2_26C_B2_t071	unknown_germinated	8
2021-12-03_run1_26C_A1_t059	burst	3
2021-12-03_run1_26C_A1_t059	germinated	15
2021-12-03_run1_26C_A1_t059	unknown_germinated	5
2021-12-07_run1_34C_A1_t063	aborted	1
2021-12-07_run1_34C_A1_t063	burst	30
2021-12-07_run1_34C_A1_t063	germinated	13
2021-12-07_run1_34C_A1_t063	ungerminated	2
2021-12-07_run1_34C_A1_t063	unknown_germinated	29
2021-12-07_run1_34C_C4_t036	burst	1
2021-12-07_run1_34C_C4_t036	germinated	16
2021-12-07_run1_34C_C4_t036	unknown_germinated	9
2021-12-07_run2_34C_B6_t036	burst	6
2021-12-07_run2_34C_B6_t036	germinated	25
2021-12-07_run2_34C_B6_t036	unknown_germinated	5
2021-12-08_run1_26C_A6_t017	burst	1
2021-12-08_run1_26C_A6_t017	germinated	7
2021-12-08_run1_26C_D3_t016	germinated	4
2021-12-08_run2_26C_A4_t047	germinated	18
2021-12-08_run2_26C_A4_t047	unknown_germinated	2
2021-12-09_run2_34C_C1_t082	burst	28
2021-12-09_run2_34C_C1_t082	unknown_germinated	2
2021-12-10_run2_26C_C4_t073	burst	21
2021-12-10_run2_26C_C4_t073	germinated	5
2021-12-10_run2_26C_C4_t073	unknown_germinated	6
2021-12-15_run1_34C_B6_t076	aborted	5
2021-12-15_run1_34C_B6_t076	burst	31
2021-12-15_run1_34C_B6_t076	germinated	13
2021-12-15_run1_34C_B6_t076	ungerminated	1
2021-12-15_run1_34C_B6_t076	unknown_germinated	15
2021-12-15_run1_34C_C2_t002	aborted	2
2021-12-15_run1_34C_C2_t002	ungerminated	90
2021-12-16_run2_26C_D6_t007	germinated	15
2021-12-16_run2_26C_D6_t007	unknown_germinated	2
2021-12-17_run2_34C_B6_t053	burst	16
2021-12-17_run2_34C_B6_t053	germinated	7
2021-12-17_run2_34C_B6_t053	unknown_germinated	4
2021-12-20_run2_26C_D2_t071	burst	2
2021-12-20_run2_26C_D2_t071	germinated	27
2021-12-20_run2_26C_D2_t071	ungerminated	1
2021-12-20_run2_26C_D2_t071	unknown_germinated	12
2021-12-20_run2_26C_D3_t052	burst	3
2021-12-20_run2_26C_D3_t052	germinated	93
2021-12-20_run2_26C_D3_t052	unknown_germinated	27
2021-12-21_run1_34C_B3_t038	germinated	10
2021-12-21_run1_34C_B3_t038	unknown_germinated	2
2021-12-21_run2_34C_D6_t079	burst	15
2021-12-21_run2_34C_D6_t079	ungerminated	1
2022-01-04_run1_34C_C6_t073	burst	26
2022-01-04_run1_34C_C6_t073	germinated	1
2022-01-04_run1_34C_C6_t073	ungerminated	1
2022-01-04_run1_34C_C6_t073	unknown_germinated	5
2022-01-04_run2_34C_D2_t012	burst	1
2022-01-04_run2_34C_D2_t012	germinated	71
2022-01-04_run2_34C_D2_t012	ungerminated	3
2022-01-04_run2_34C_D2_t012	unknown_germinated	2
2022-01-05_run1_26C_C2_t040	germinated	13
2022-01-06_run1_34C_B1_t076	burst	37
2022-01-06_run1_34C_B1_t076	ungerminated	2
2022-01-06_run1_34C_B1_t076	unknown_germinated	10
2022-01-06_run1_34C_D5_t033	aborted	1
2022-01-06_run1_34C_D5_t033	burst	2
2022-01-06_run1_34C_D5_t033	germinated	40
2022-01-06_run1_34C_D5_t033	unknown_germinated	7
2022-01-07_run1_26C_B4_t066	aborted	2
2022-01-07_run1_26C_B4_t066	germinated	17
2022-01-07_run1_26C_B4_t066	unknown_germinated	2
2022-01-12_run1_34C_B5_t048	aborted	2
2022-01-12_run1_34C_B5_t048	germinated	12
2022-01-12_run1_34C_B5_t048	ungerminated	4
2022-01-12_run1_34C_B5_t048	unknown_germinated	3
2022-01-12_run1_34C_C2_t044	ungerminated	14
2022-01-20_run2_26C_C3_t025	germinated	10
2022-01-24_run1_26C_A5_t034	aborted	6
2022-01-24_run1_26C_A5_t034	burst	4
2022-01-24_run1_26C_A5_t034	germinated	93
2022-01-24_run1_26C_A5_t034	ungerminated	9
2022-01-24_run1_26C_A5_t034	unknown_germinated	7
2022-01-24_run1_26C_B2_t022	aborted	1
2022-01-24_run1_26C_B2_t022	burst	22
2022-01-24_run1_26C_B2_t022	germinated	13
2022-01-24_run1_26C_B2_t022	ungerminated	16
2022-01-24_run1_26C_B2_t022	unknown_germinated	4
2022-01-27_run1_34C_C3_t005	burst	1
2022-01-27_run1_34C_C3_t005	germinated	30
2022-01-27_run1_34C_C3_t005	ungerminated	6
2022-01-27_run2_34C_C4_t058	burst	21
2022-01-27_run2_34C_C4_t058	germinated	5
2022-01-27_run2_34C_C4_t058	ungerminated	3
2022-01-27_run2_34C_C4_t058	unknown_germinated	3
2022-01-28_run1_26C_B2_t044	aborted	1
2022-01-28_run1_26C_B2_t044	germinated	40
2022-01-28_run1_26C_B2_t044	ungerminated	1
2022-01-28_run1_26C_B2_t044	unknown_germinated	8
2022-01-31_run1_26C_D4_t028	burst	2
2022-01-31_run1_26C_D4_t028	germinated	17
2022-01-31_run1_26C_D4_t028	ungerminated	1
2022-01-31_run1_26C_D4_t028	unknown_germinated	1
2022-02-02_run1_26C_D3_t066	burst	1
2022-02-02_run1_26C_D3_t066	germinated	33
2022-02-02_run1_26C_D3_t066	unknown_germinated	9
2022-02-08_run1_34C_C4_t052	aborted	1
2022-02-08_run1_34C_C4_t052	burst	3
2022-02-08_run1_34C_C4_t052	germinated	45
2022-02-08_run1_34C_C4_t052	unknown_germinated	11
2022-02-08_run2_34C_D3_t078	burst	14
2022-02-08_run2_34C_D3_t078	germinated	2
2022-02-08_run2_34C_D3_t078	ungerminated	6
2022-02-08_run2_34C_D3_t078	unknown_germinated	16
2022-02-11_run2_26C_B4_t031	germinated	34
2022-02-11_run2_26C_B4_t031	unknown_germinated	3
2022-02-11_run2_26C_D5_t081	aborted	1
2022-02-11_run2_26C_D5_t081	burst	5
2022-02-11_run2_26C_D5_t081	germinated	5
2022-02-11_run2_26C_D5_t081	unknown_germinated	5
2022-02-14_run1_34C_C5_t020	aborted	4
2022-02-14_run1_34C_C5_t020	burst	14
2022-02-14_run1_34C_C5_t020	germinated	22
2022-02-14_run1_34C_C5_t020	ungerminated	9
2022-02-14_run1_34C_C5_t020	unknown_germinated	2
2022-02-14_run2_34C_A1_t061	aborted	18
2022-02-14_run2_34C_A1_t061	burst	4
2022-02-14_run2_34C_A1_t061	ungerminated	9
2022-02-18_run1_34C_C5_t036	burst	11
2022-02-18_run1_34C_C5_t036	germinated	14
2022-02-18_run1_34C_C5_t036	ungerminated	5
2022-02-18_run1_34C_C5_t036	unknown_germinated	1
2022-02-18_run2_34C_A2_t004	aborted	1
2022-02-18_run2_34C_A2_t004	germinated	10
